Season,TeamName,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2018,Penn St.,67.5578,205,113.059,57,95.9558,21,17.1028,29,0
2018,Texas A&M,69.0256,120,111.204,71,94.2949,12,16.9086,30,7
2018,Notre Dame,65.041,317,116.105,28,99.2884,63,16.8168,31,0
2018,Virginia Tech,68.6757,144,115.016,39,98.3773,54,16.6388,32,8
2018,Louisville,69.6575,91,113.149,55,96.5566,27,16.5921,33,0
2018,Baylor,66.4201,257,111.2,72,95.0346,15,16.1649,34,0
2018,Florida St.,71.6051,31,115.822,30,99.9984,76,15.8239,35,9
2018,Miami FL,67.0632,225,113.309,52,97.5988,45,15.7103,36,6
2018,Arkansas,69.6899,90,117.32,19,101.685,103,15.635,37,7
2018,Missouri,65.6199,298,113.275,53,97.803,47,15.4717,38,8
2018,Texas,65.2086,315,109.372,94,93.914,10,15.4577,39,10
2018,USC,67.4871,208,115.387,36,100.1,78,15.2876,40,0
2018,Loyola Chicago,65.3221,312,111.331,68,96.1911,24,15.1402,41,11
2018,North Carolina St.,71.3548,40,116.426,24,101.294,99,15.1323,42,9
2018,Davidson,64.1645,335,117.399,18,102.494,115,14.9051,43,12
2018,Kansas St.,65.5437,302,112.178,60,97.4236,41,14.7543,44,9
2018,Arizona St.,71.5605,36,117.651,17,102.937,124,14.714,45,11
2018,Maryland,66.2237,265,114.103,44,99.4389,69,14.6641,46,0
2018,Oklahoma,75.8225,4,115.128,38,100.709,83,14.419,47,10
2018,UCLA,70.5038,57,116.447,23,102.063,110,14.3834,48,11
2018,Rhode Island,68.6547,146,111.71,66,97.328,38,14.3818,49,7
2018,San Diego St.,68.6523,147,111.286,69,97.1358,36,14.1504,50,11
2018,Alabama,68.7962,137,108.459,115,94.6334,13,13.8252,51,9
2018,Middle Tennessee,66.3307,262,110.444,79,96.6652,31,13.7784,52,0
2018,Marquette,69.057,116,119.326,13,105.585,176,13.7406,53,0
2018,Syracuse,63.3993,342,107.705,128,94.1122,11,13.5929,54,11
2018,New Mexico St.,68.2276,173,108.457,116,94.9001,14,13.5573,55,12
2018,Oklahoma St.,68.4698,160,112.144,61,98.665,55,13.479,56,0
2018,Nebraska,67.513,207,110.965,75,97.535,43,13.4297,57,0
2018,Boise St.,68.3666,164,110.617,77,97.4901,42,13.127,58,0
2018,Murray St.,67.3002,216,113.139,56,100.444,82,12.6951,59,12
2018,Western Kentucky,68.7476,140,113.624,50,101.073,93,12.5511,60,0
2018,LSU,68.2442,171,115.619,33,103.154,128,12.4654,61,0
2018,Mississippi St.,67.6311,200,109.611,91,97.2553,37,12.3553,62,0
2018,Providence,67.0963,223,108.926,104,97.0075,35,11.9189,63,10
2018,Georgia,64.3908,332,107.77,127,95.8592,20,11.9104,64,0
2018,Utah,65.6072,299,111.869,64,99.9904,75,11.8784,65,0
2018,Louisiana Lafayette,70.2958,69,113.494,51,102.122,111,11.3722,66,0
2018,South Dakota,70.3376,67,110.133,83,98.7753,56,11.3572,67,0
2018,Old Dominion,64.4272,330,108.709,107,97.3821,40,11.3267,68,0
2018,St. Bonaventure,69.2408,109,112.288,59,101.093,94,11.1954,69,11
2018,BYU,67.3485,212,109.043,102,98.0758,52,10.967,70,0
2018,Montana,67.9708,183,110.144,82,99.3132,65,10.8304,71,14
2018,Vermont,63.7873,340,114.117,43,103.361,130,10.7557,72,0
2018,Boston College,70.1484,73,113.834,47,103.118,126,10.716,73,0
2018,Wisconsin,62.6778,347,110.048,85,99.4326,68,10.6155,74,0
2018,South Dakota St.,70.2629,71,114.629,41,104.038,148,10.5907,75,12
2018,Oregon,66.7027,242,110.876,76,100.308,80,10.5677,76,0
2018,Buffalo,72.8022,15,114.284,42,103.791,138,10.4931,77,13
2018,Indiana,66.5953,246,109.728,90,99.3296,66,10.3979,78,0
2018,Fresno St.,66.5742,247,110.083,84,99.8844,74,10.1991,79,0
2018,St. John's,69.2813,106,106.673,143,96.5856,29,10.0876,80,0
2018,South Carolina,68.6274,150,105.826,158,95.8409,19,9.98552,81,0
2018,UNC Greensboro,64.9776,318,105.672,164,96.6156,30,9.0562,82,13
2018,Belmont,66.9012,234,113.007,58,103.988,146,9.01879,83,0
2018,Stanford,70.3617,66,108.482,114,99.6862,71,8.79546,84,0
2018,SMU,64.2428,334,109.895,86,101.114,95,8.78044,85,0
2018,Temple,67.577,203,109.061,100,100.774,88,8.28745,86,0
2018,Northwestern,63.8417,339,109.271,98,101.001,92,8.2695,87,0
2018,Vanderbilt,65.7884,287,115.597,34,107.519,216,8.07789,88,0
2018,Wake Forest,69.3676,103,111.107,73,103.102,125,8.00483,89,0
2018,Iowa,70.3231,68,116.679,20,108.754,243,7.92445,90,0
2018,Utah Valley,67.6845,196,111.038,74,103.119,127,7.91965,91,0
2018,East Tennessee St.,67.5968,201,105.603,167,98.0734,51,7.52941,92,0
2018,Furman,68.586,153,109.301,97,101.88,108,7.42108,93,0
2018,Oregon St.,65.5074,305,108.83,105,101.453,101,7.3766,94,0
2018,Northern Kentucky,68.5285,156,108.17,119,100.865,90,7.30441,95,0
2018,Georgia St.,66.8969,236,109.045,101,101.835,106,7.20921,96,15
2018,Northeastern,66.9742,231,107.928,123,100.752,85,7.17547,97,0
2018,Washington,69.4616,100,106.264,152,99.2555,62,7.00886,98,0
2018,Georgetown,70.4309,60,109.801,89,102.858,123,6.94308,99,0
2018,Bucknell,71.4452,37,109.182,99,102.368,112,6.8137,100,14
2018,DePaul,69.8151,86,104.75,183,98.0134,49,6.73631,101,0
2018,New Mexico,71.2869,42,113.687,49,107.029,208,6.65739,102,0
2018,Illinois,69.8781,84,109.865,88,103.282,129,6.58303,103,0
2018,Iowa St.,68.903,128,110.162,81,103.597,132,6.56511,104,0
2018,Mississippi,70.0073,77,111.487,67,104.959,163,6.52741,105,0
2018,UNLV,72.3123,20,111.747,65,105.229,169,6.51797,106,0
2018,Tulsa,67.2034,221,108.591,112,102.415,113,6.17519,107,0
2018,Northern Colorado,71.2362,45,107.414,134,101.286,98,6.12837,108,0
2018,UCF,64.3928,331,99.2351,278,93.4351,6,5.79997,109,0
2018,Colorado,67.7413,194,105.412,169,99.7361,72,5.67601,110,0
2018,Stephen F. Austin,71.1416,48,104.983,177,99.4206,67,5.56289,111,14
2018,Grand Canyon,69.04,119,102.4,226,96.902,33,5.4981,112,0
2018,UAB,67.6314,199,109.533,92,104.06,149,5.47313,113,0
2018,Marshall,74.8308,6,109.328,96,103.944,144,5.38402,114,13
2018,Wyoming,73.5044,11,105.921,156,100.807,89,5.11463,115,0
2018,Georgia Tech,66.1029,274,103.961,193,98.9358,57,5.02521,116,0
2018,Saint Joseph's,70.4744,58,105.763,160,100.747,84,5.01631,117,0
2018,Minnesota,69.7864,88,108.973,103,103.976,145,4.99677,118,0
2018,Toledo,68.4196,163,114.058,45,109.116,255,4.94139,119,0
2018,College of Charleston,64.6463,324,109.887,87,105.153,167,4.73418,120,13
2018,UC Santa Barbara,66.6292,245,111.909,63,107.219,210,4.68981,121,0
2018,Missouri St.,65.4461,308,108.516,113,103.926,142,4.58991,122,0
2018,Northern Iowa,62.6277,349,103.326,212,99.0539,60,4.27234,123,0
2018,San Diego,66.8296,238,104.017,192,100.056,77,3.96095,124,0
2018,Bradley,65.7438,289,104.533,188,100.759,86,3.77418,125,0
2018,Idaho,65.5733,301,109.523,93,105.799,181,3.72472,126,0
2018,Penn,68.8538,131,103.553,205,99.8577,73,3.69539,127,16
2018,UC Davis,66.4714,254,104.729,184,101.128,96,3.60124,128,0
2018,Eastern Washington,66.1275,273,108.344,117,104.864,160,3.47985,129,0
2018,Canisius,68.6964,143,107.802,126,104.329,153,3.47331,130,0
2018,UT Arlington,72.7842,16,105.842,157,102.416,114,3.42601,131,0
2018,Florida Gulf Coast,71.2364,44,108.292,118,104.875,161,3.41726,132,0
2018,Rutgers,65.9633,278,99.4501,272,96.5073,26,2.9428,133,0
2018,Iona,70.6965,56,110.261,80,107.388,212,2.87263,134,15
2018,Wright St.,68.2124,175,101.068,248,98.251,53,2.81674,135,14
2018,Utah St.,66.783,240,107.554,131,104.89,162,2.66336,136,0
2018,Southern Illinois,66.555,249,106.375,149,103.712,136,2.66309,137,0
2018,Evansville,65.653,294,99.4854,271,96.8294,32,2.65607,138,0
2018,Rider,73.5617,9,109.349,95,106.842,199,2.50668,139,0
2018,UC Irvine,66.8883,237,100.538,253,98.0426,50,2.49581,140,0
2018,VCU,70.8503,52,106.408,148,104.101,151,2.30681,141,0
2018,San Francisco,66.5341,250,103.139,216,100.892,91,2.2469,142,0
2018,Indiana St.,69.9286,81,104.772,182,102.537,118,2.23522,143,0
2018,Harvard,65.4558,307,101.431,243,99.2919,64,2.13911,144,0
2018,Illinois St.,68.8543,130,105.791,159,103.673,135,2.11818,145,0
2018,Saint Louis,64.0742,336,102.425,224,100.308,79,2.1174,146,0
2018,Eastern Michigan,64.5311,326,103.38,210,101.296,100,2.08468,147,0
2018,Mercer,63.8558,338,112.054,62,110.195,272,1.85918,148,0
2018,Jacksonville St.,65.8717,284,102.163,231,100.348,81,1.81469,149,0
2018,Georgia Southern,68.8109,135,106.317,151,104.553,157,1.76452,150,0
2018,Valparaiso,69.6476,92,103.229,214,101.6,102,1.62834,151,0
2018,Albany,66.1383,272,107.317,136,105.879,185,1.43775,152,0
2018,Cal St. Fullerton,69.5384,97,104.984,176,103.669,134,1.3154,153,15
2018,Drake,68.0323,182,106.797,141,105.562,174,1.23476,154,0
2018,Louisiana Tech,67.3459,213,106.931,140,105.723,179,1.20717,155,0
2018,Fort Wayne,72.5983,18,107.616,130,106.447,192,1.16871,156,0
2018,Wofford,65.918,281,108.706,108,107.593,220,1.11283,157,0
2018,La Salle,68.8817,129,105.153,175,104.098,150,1.05517,158,0
2018,Weber St.,67.5617,204,107.094,139,106.061,187,1.03256,159,0
2018,Towson,67.8854,188,106.141,153,105.123,165,1.01812,160,0
2018,Memphis,66.5042,252,107.912,124,106.96,202,0.952114,161,0
2018,Hofstra,68.8438,132,111.27,70,110.456,280,0.813677,162,0
2018,Winthrop,71.6037,32,106.333,150,105.575,175,0.758073,163,0
2018,Portland St.,74.7532,7,108.635,111,107.884,226,0.751449,164,0
2018,Lipscomb,74.8966,5,103.793,197,103.43,131,0.363623,165,15
2018,Pacific,66.2742,264,107.255,137,107.011,204,0.244182,166,0
2018,Tulane,68.9416,127,107.196,138,107.02,206,0.176511,167,0
2018,Dayton,66.1889,269,108.662,110,108.587,238,0.0754615,168,0
2018,North Dakota St.,66.4453,255,105.605,166,105.63,177,-0.0250039,169,0
2018,Radford,62.7351,346,103.581,203,103.629,133,-0.0477779,170,16
2018,Wagner,67.319,214,103.84,195,103.942,143,-0.10173,171,0
2018,William & Mary,69.9511,80,115.44,35,115.554,335,-0.114014,172,0
2018,Connecticut,66.9317,232,105.308,172,105.56,173,-0.251352,173,0
2018,Ball St.,69.8897,83,103.571,204,103.881,139,-0.309988,174,0
2018,UTSA,71.5898,34,105.326,171,105.638,178,-0.312599,175,0
2018,Troy,68.2435,172,106.447,146,106.831,198,-0.383728,176,0
2018,Central Michigan,67.2261,220,108.06,121,108.518,236,-0.458209,177,0
2018,Oakland,70.2619,72,107.349,135,108.106,230,-0.757198,178,0
2018,Richmond,67.912,185,107.65,129,108.447,234,-0.797251,179,0
2018,Liberty,63.2072,344,104.811,180,105.743,180,-0.931358,180,0
2018,Monmouth,69.9683,79,103.927,194,105,164,-1.07324,181,0
2018,Washington St.,68.2517,170,108.782,106,110.222,273,-1.43964,182,0
2018,Nicholls St.,73.4761,12,103.593,202,105.197,168,-1.60384,183,0
2018,UMBC,68.1857,177,103.389,208,105.297,170,-1.9086,184,16
2018,North Texas,66.2923,263,103.261,213,105.372,171,-2.11067,185,0
2018,Long Beach St.,71.7448,27,106.516,145,108.726,241,-2.2102,186,0
2018,Western Michigan,67.7811,192,106.536,144,108.823,249,-2.28733,187,0
2018,Austin Peay,68.7758,139,105.23,174,107.535,218,-2.30435,188,0
2018,Seattle,67.2898,217,104.36,189,106.684,197,-2.32371,189,0
2018,Southeastern Louisiana,65.622,296,103.383,209,105.803,182,-2.41981,190,0
2018,Princeton,64.4662,329,105.663,165,108.114,231,-2.45082,191,0
2018,UNC Asheville,69.099,115,105.756,161,108.277,232,-2.52093,192,0
2018,Miami OH,66.6484,243,99.4139,273,102.01,109,-2.59573,193,0
2018,George Washington,65.7579,288,103.751,199,106.445,191,-2.69404,194,0
2018,Ohio,71.2564,43,100.799,252,103.883,140,-3.0839,195,0
2018,Hawaii,67.8091,191,99.5787,267,102.705,121,-3.12592,196,0
2018,Yale,68.7887,138,104.05,191,107.229,211,-3.17937,197,0
2018,Tennessee St.,65.5805,300,97.8314,307,101.199,97,-3.36716,198,0
2018,Niagara,73.3076,14,110.586,78,114.112,324,-3.52611,199,0
2018,Duquesne,66.2143,268,104.905,178,108.458,235,-3.55272,200,0
2018,Central Arkansas,72.6483,17,106.065,154,109.695,266,-3.6301,201,0
2018,Illinois Chicago,71.9772,25,100.88,249,104.539,156,-3.6584,202,0
2018,Lamar,67.5922,202,102.142,233,105.806,183,-3.66408,203,0
2018,St. Francis PA,68.0926,180,107.492,133,111.2,295,-3.70886,204,0
2018,Milwaukee,65.6731,293,100.165,256,103.911,141,-3.7461,205,0
2018,Denver,66.4442,256,103.105,217,106.924,201,-3.81948,206,0
2018,Massachusetts,66.3658,261,106.751,142,110.778,285,-4.02731,207,0
2018,Appalachian St.,70.0171,76,103.761,198,107.814,225,-4.05258,208,0
2018,Coastal Carolina,67.7749,193,102.108,235,106.185,188,-4.07686,209,0
2018,Colgate,66.2209,267,105.332,170,109.443,259,-4.11154,210,0
2018,Fairfield,70.4743,59,102.399,227,106.606,194,-4.20669,211,0
2018,Sam Houston St.,66.634,244,102.129,234,106.658,196,-4.52845,212,0
2018,Kent St.,68.6241,151,102.398,228,107.026,207,-4.62772,213,0
2018,Hartford,66.4118,259,102.66,220,107.465,214,-4.80558,214,0
2018,Saint Peter's,62.5653,350,95.946,323,100.774,87,-4.82757,215,0
2018,Manhattan,65.7365,290,99.6527,266,104.492,154,-4.83938,216,0
2018,Southern Miss,65.408,309,105.745,162,110.633,283,-4.88853,217,0
2018,Tennessee Tech,70.8651,51,98.8518,288,103.99,147,-5.13773,218,0
2018,George Mason,69.0072,121,102.424,225,107.583,219,-5.15972,219,0
2018,South Alabama,70.2931,70,97.2027,310,102.508,117,-5.30526,220,0
2018,Idaho St.,68.1327,179,103.631,201,109.099,254,-5.46799,221,0
2018,Loyola Marymount,66.9001,235,107.878,125,113.356,319,-5.47849,222,0
2018,Louisiana Monroe,65.8847,283,101.107,247,106.609,195,-5.50234,223,0
2018,Stony Brook,68.3283,165,96.9809,314,102.508,116,-5.52705,224,0
2018,Colorado St.,69.5997,96,102.992,218,108.542,237,-5.55015,225,0
2018,Pittsburgh,65.0871,316,99.245,277,104.848,159,-5.60346,226,0
2018,Campbell,67.9112,186,104.711,185,110.369,277,-5.65788,227,0
2018,Texas St.,62.6584,348,100.13,258,105.812,184,-5.68248,228,0
2018,Navy,65.361,311,98.9341,285,104.696,158,-5.76166,229,0
2018,Oral Roberts,65.2579,314,106.436,147,112.348,309,-5.91252,230,0
2018,Mount St. Mary's,64.6683,323,104.158,190,110.233,274,-6.07469,231,0
2018,Air Force,65.9345,279,100.858,250,106.982,203,-6.12387,232,0
2018,Columbia,69.9189,82,107.532,132,113.676,322,-6.14405,233,0
2018,North Dakota,71.4336,38,103.429,207,109.586,265,-6.15738,234,0
2018,FIU,68.9895,124,98.312,298,104.495,155,-6.1826,235,0
2018,James Madison,67.8118,190,101.513,242,107.715,223,-6.20158,236,0
2018,Lehigh,70.7583,55,106.033,155,112.266,308,-6.23291,237,0
2018,Bowling Green,70.0539,75,102.363,229,108.678,240,-6.31489,238,0
2018,Cal St. Bakersfield,65.3109,313,97.8823,304,104.201,152,-6.31828,239,0
2018,High Point,65.8417,285,100.358,255,107.015,205,-6.65759,240,0
2018,California,68.6367,148,98.7142,294,105.496,172,-6.78228,241,0
2018,Florida Atlantic,69.2321,110,95.8007,327,102.805,122,-7.00379,242,0
2018,UTEP,67.6466,198,97.9258,303,105.132,166,-7.20619,243,0
2018,Robert Morris,69.2486,108,95.2299,330,102.685,120,-7.45463,244,0
2018,Southern Utah,71.7063,28,102.71,219,110.178,271,-7.46851,245,0
2018,Hampton,71.6117,30,101.717,240,109.277,257,-7.5593,246,0
2018,UNC Wilmington,71.9462,26,104.544,187,112.126,305,-7.58211,247,0
2018,Charleston Southern,66.42,258,99.5751,269,107.201,209,-7.62623,248,0
2018,Texas Southern,71.5742,35,105.281,173,112.94,315,-7.659,249,16
2018,Delaware,65.8879,282,102.21,230,109.935,269,-7.7246,250,0
2018,LIU Brooklyn,71.3779,39,103.335,211,111.135,294,-7.80028,251,16
2018,Elon,67.277,218,103.814,196,111.63,301,-7.81591,252,0
2018,Drexel,69.0006,123,103.158,215,111.015,293,-7.85724,253,0
2018,NJIT,66.9084,233,98.8573,286,106.896,200,-8.03894,254,0
2018,Northern Illinois,67.0223,229,103.512,206,111.558,299,-8.04564,255,0
2018,Southeast Missouri St.,69.1715,112,108.692,109,116.831,339,-8.13956,256,0
2018,Eastern Illinois,65.5099,304,99.2873,275,107.511,215,-8.22371,257,0
2018,Akron,67.7289,195,102.084,237,110.378,278,-8.29336,258,0
2018,UT Rio Grande Valley,73.7538,8,99.5267,270,107.884,227,-8.35716,259,0
2018,Boston University,67.4842,210,100.406,254,108.792,247,-8.38666,260,0
2018,Gardner Webb,67.6819,197,97.8426,306,106.464,193,-8.62118,261,0
2018,UC Riverside,68.1986,176,94.9477,332,103.743,137,-8.79527,262,0
2018,Pepperdine,67.5211,206,105.737,163,114.581,325,-8.84444,263,0
2018,Army,70.3704,65,100.037,259,108.898,250,-8.8612,264,0
2018,Abilene Christian,68.4251,162,98.7584,292,107.652,221,-8.89336,265,0
2018,Portland,67.0932,224,99.6831,265,108.64,239,-8.95725,266,0
2018,Cornell,69.1552,114,104.811,181,113.789,323,-8.97831,267,0
2018,Montana St.,69.6265,93,102.464,223,111.597,300,-9.13325,268,0
2018,Brown,71.6575,29,101.118,246,110.291,275,-9.17291,269,0
2018,New Orleans,66.223,266,98.2369,299,107.446,213,-9.20862,270,0
2018,Green Bay,72.1954,23,99.8417,261,109.068,253,-9.22594,271,0
2018,Prairie View A&M,70.7987,54,101.561,241,110.971,290,-9.40984,272,0
2018,Santa Clara,64.6148,325,99.8354,262,109.555,262,-9.71982,273,0
2018,Fairleigh Dickinson,70.4182,63,102.606,221,112.46,313,-9.85364,274,0
2018,UMKC,69.2603,107,98.7816,290,108.812,248,-10.0303,275,0
2018,Morehead St.,68.4778,159,99.3027,274,109.384,258,-10.0812,276,0
2018,Nebraska Omaha,69.7995,87,104.607,186,114.865,328,-10.2575,277,0
2018,Quinnipiac,66.4787,253,102.156,232,112.45,312,-10.2942,278,0
2018,Lafayette,68.2708,169,102.094,236,112.413,311,-10.319,279,0
2018,South Florida,64.5035,327,99.1473,282,109.557,263,-10.4093,280,0
2018,Arkansas St.,69.5131,98,104.844,179,115.299,332,-10.4554,281,0
2018,Sacramento St.,65.5344,303,100.156,257,110.625,282,-10.469,282,0
2018,New Hampshire,65.3684,310,98.3927,296,108.952,251,-10.5592,283,0
2018,North Florida,73.5582,10,107.929,122,118.638,345,-10.7085,284,0
2018,Bethune Cookman,76.0268,3,99.855,260,110.955,289,-11.1004,285,0
2018,Eastern Kentucky,68.5091,157,101.898,239,113.032,316,-11.1333,286,0
2018,IUPUI,66.0769,276,98.2354,300,109.456,260,-11.2209,287,0
2018,UMass Lowell,71.5977,33,103.71,200,115.015,330,-11.3048,288,0
2018,Western Illinois,68.0342,181,96.6297,318,108,229,-11.3706,289,0
2018,Holy Cross,62.8523,345,97.7496,308,109.222,256,-11.472,290,0
2018,McNeese St.,70.3873,64,100.821,251,112.391,310,-11.5693,291,0
2018,Fordham,65.9279,280,94.7467,334,106.371,190,-11.6247,292,0
2018,Tennessee Martin,66.0845,275,95.7963,328,107.528,217,-11.7312,293,0
2018,Little Rock,64.9731,319,94.2562,338,105.994,186,-11.7383,294,0
2018,Rice,67.487,209,98.9816,284,110.863,286,-11.8816,295,0
2018,Grambling St.,72.2164,22,94.4781,335,106.366,189,-11.8877,296,0
2018,Samford,71.1956,46,108.13,120,120.065,349,-11.9356,297,0
2018,San Jose St.,67.017,230,95.8941,325,107.932,228,-12.0379,298,0
2018,Dartmouth,66.7574,241,98.7331,293,110.886,287,-12.1529,299,0
2018,Binghamton,66.0295,277,97.6222,309,109.808,267,-12.1856,300,0
2018,Siena,65.6261,295,96.812,316,109.047,252,-12.2354,301,0
2018,Western Carolina,69.3869,102,96.0774,321,108.337,233,-12.2593,302,0
2018,Sacred Heart,68.3181,167,96.4538,320,108.771,245,-12.317,303,0
2018,North Carolina A&T,69.3382,105,98.7732,291,111.246,296,-12.4728,304,0
2018,Chattanooga,65.4585,306,99.5772,268,112.148,307,-12.5706,305,0
2018,Central Connecticut,64.4696,328,98.3842,297,110.992,292,-12.6074,306,0
2018,Cleveland St.,67.0338,227,97.8525,305,110.479,281,-12.6266,307,0
2018,East Carolina,68.6719,145,97.1148,313,109.838,268,-12.7236,308,0
2018,North Carolina Central,64.9456,320,98.1525,301,110.889,288,-12.7366,309,0
2018,St. Francis NY,69.2043,111,99.0672,283,111.885,302,-12.8175,310,0
2018,Kennesaw St.,68.5041,158,99.1498,281,112.047,303,-12.8972,311,0
2018,Texas A&M Corpus Chris,68.1854,178,94.8618,333,107.793,224,-12.9309,312,0
2018,Norfolk St.,68.959,126,95.7339,329,108.771,244,-13.0369,313,0
2018,Stetson,69.7459,89,98.8042,289,112.142,306,-13.3378,314,0
2018,The Citadel,77.2216,2,101.9,238,115.296,331,-13.3963,315,0
2018,Savannah St.,82.2412,1,101.283,245,114.695,326,-13.4122,316,0
2018,Charlotte,71.1708,47,99.2459,276,112.812,314,-13.5659,317,0
2018,SIU Edwardsville,69.1599,113,99.7913,263,113.459,321,-13.6681,318,0
2018,Marist,69.6217,95,98.8544,287,113.205,317,-14.3502,319,0
2018,Jacksonville,68.5735,155,94.3753,337,108.731,242,-14.3559,320,0
2018,Detroit,72.3511,19,102.603,222,117.28,342,-14.6765,321,0
2018,Cal Poly,66.1817,270,98.6925,295,113.371,320,-14.6783,322,0
2018,Morgan St.,68.8212,134,96.6573,317,111.359,298,-14.702,323,0
2018,Loyola MD,68.3198,166,96.4726,319,111.251,297,-14.7787,324,0
2018,Youngstown St.,71.0824,49,101.405,244,116.489,338,-15.0835,325,0
2018,Northern Arizona,68.6079,152,93.8653,339,109.576,264,-15.7112,326,0
2018,Southern,67.9029,187,94.4361,336,110.159,270,-15.7227,327,0
2018,Cal St. Northridge,65.726,291,97.1748,311,113.29,318,-16.1148,328,0
2018,American,66.5061,251,95.8765,326,112.092,304,-16.2153,329,0
2018,Arkansas Pine Bluff,67.4153,211,93.7489,340,110.346,276,-16.5966,330,0
2018,VMI,68.8337,133,90.3135,346,107.674,222,-17.361,331,0
2018,Houston Baptist,73.4498,13,99.2215,279,116.873,340,-17.6515,332,0
2018,Maine,71.3161,41,91.1206,342,108.777,246,-17.6567,333,0
2018,Presbyterian,63.3312,343,98.1256,302,115.916,336,-17.7905,334,0
2018,Howard,69.8481,85,99.697,264,118.659,346,-18.9624,335,0
2018,Alcorn St.,67.9299,184,95.1709,331,114.78,327,-19.6089,336,0
2018,Jackson St.,64.0611,337,89.6435,348,109.463,261,-19.8194,337,0
2018,USC Upstate,69.0016,122,105.451,168,125.313,351,-19.8616,338,0
2018,Alabama St.,68.7067,141,95.9583,322,116.08,337,-20.1217,339,0
2018,Longwood,69.0407,118,89.8977,347,110.39,279,-20.4927,340,0
2018,Florida A&M,67.035,226,95.921,324,117.051,341,-21.13,341,0
2018,Incarnate Word,69.6264,94,93.7442,341,115.326,334,-21.5818,342,0
2018,South Carolina St.,70.428,62,97.1576,312,118.9,347,-21.7421,343,0
2018,Bryant,70.0727,74,99.1515,280,120.91,350,-21.7588,344,0
2018,Northwestern St.,68.7974,136,88.6314,349,110.988,291,-22.3565,345,0
2018,Chicago St.,72.1254,24,96.8943,315,119.36,348,-22.466,346,0
2018,Coppin St.,67.0236,228,86.7585,350,110.733,284,-23.9745,347,0
2018,Mississippi Valley St.,69.3896,101,90.4705,345,114.873,329,-24.4021,348,0
2018,Maryland Eastern Shore,65.8346,286,91.0568,343,118.021,343,-26.9646,349,0
2018,Delaware St.,64.8606,321,90.5592,344,118.528,344,-27.9685,350,0
2018,Alabama A&M,65.695,292,86.7317,351,115.305,333,-28.5736,351,0
