Season,TeamName,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,offensivereboundingpct,totalreboundingpercentage,opponentftmper100possessions,threepointpct,opponentshootingpct,winpctclosegames,opponenteffectivefieldgoalpct,pointsfrom3pointers,pointsfrom2pointers,winpctallgames,freethrowpct,freethrowsmadepergame,assistperturnoverratio,personalfoulsperpossession,trueshootingpercentage,RPIRank
2018,UCLA,70.5038,57,116.447,23,102.063,110,14.3834,48,11, 27.9,51.6,17.778,38.3,42.4,0.714,49.4,28.1,37.9,0.656,72.2,15.9,1.272,24.1,114.0,37
2018,Maryland BC,68.1857,177,103.389,208,105.297,170,-1.9086,184,16, 23.2,47.9,17.003,38.2,44.7,0.857,52.1,29.5,31.5,0.677,65.0,11.4,1.273,23.4,108.5,112
2018,NC-Grnsboro,64.9776,318,105.672,164,96.6156,30,9.0562,82,13, 32.6,54.2,21.309,35.6,40.9,0.667,47.6,28.8,32.4,0.774,70.1,10.9,1.038,27.0,108.9,65
2018,Villanova,68.277,168,127.384,1,95.9749,22,31.4091,2,1, 27.5,52.1,15.935,39.8,43.4,0.5,49.2,34.2,39.2,0.882,77.1,13.6,1.611,21.8,124.6,2
2018,Virginia,59.1912,351,116.528,21,84.3753,1,32.1527,1,1, 25.3,51.5,15.474,39.0,37.5,0.833,43.7,22.1,35.3,0.939,75.8,10.2,1.601,22.7,111.5,1
2018,VA Tech,68.6757,144,115.016,39,98.3773,54,16.6388,32,8, 21.9,48.9,16.717,38.5,42.5,0.833,49.9,26.2,38.8,0.656,71.0,14.7,1.386,21.9,120.0,62
2018,W Virginia,69.0413,117,119.151,14,97.3766,39,21.7748,13,5, 34.6,52.4,22.824,35.3,42.5,0.571,49.6,26.4,37.9,0.706,76.6,15.3,1.33,29.5,108.3,27
2018,Wichita St,68.6357,149,121.925,5,101.857,107,20.068,20,4, 33.4,57.0,19.363,38.5,41.9,0.375,49.3,27.4,39.9,0.781,73.8,15.8,1.603,24.3,117.1,16
2018,Wright State,68.2124,175,101.068,248,98.251,53,2.81674,135,14, 27.2,51.8,16.77,34.0,41.3,0.636,48.3,20.5,35.9,0.719,71.9,14.9,1.012,22.4,105.8,98
2018,Xavier,70.4307,61,120.74,7,99.0492,59,21.6909,14,1, 27.9,55.1,15.748,36.9,43.1,0.9,50.0,23.5,42.1,0.849,79.0,18.7,1.339,22.8,120.2,3
